scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Pseudopanurgus albitarsis,1044.5589730000004,439.7224662559739,0.320818772691221,0.19601106198576768,-0.401292959410085,0.05339826954273262,14,6.188118811881187,5,1.4029180695847363,50
Pseudopanurgus andrenoides,408.77683999999994,391.130299315171,0.29640420951501345,0.010053509567723641,-0.43531178525458736,-0.01675033339725152,6,1.1283135147947694,1,1,169
Pseudopanurgus arizonicus,390.70253999999994,390.70254,-0.04095504925016299,0.03547225738542072,-0.4353117852545873,-0.016750333397251516,1,1,1,1,2
Pseudopanurgus cazieri,390.70253999999994,390.70254,-0.047914974999311986,0.03206285217411821,-0.4353117852545873,-0.016750333397251516,1,1,1,1,1
Pseudopanurgus compositarum,981.1595909999998,472.1247494521778,0.40032187513923356,-0.009940702101594142,-0.42569844669265283,7.40693067379333e-4,9,4.955056179775281,6,2.1304347826086962,21
Pseudopanurgus fraterculus,390.70253999999994,390.70253999999983,-0.2608288485732286,0.16639959600439508,0.2596513668841316,-0.283680245536904,1,1,1,1,1
Pseudopanurgus labrosus,3308.2062639997025,535.6384521054417,0.20755324110385692,0.017757234772894405,-0.23718495322260658,0.12067244842193094,50,37.44813278008299,23,8.395348837209303,95
Pseudopanurgus passiflorae,2798.1349200000027,541.6322101962736,0.06037932376098152,-0.03504616993627663,-0.08634492386152602,0.09253917907629157,35,21.65775401069518,22,13.022508038585206,90
Pseudopanurgus rugosus,730.083398,425.8195438509989,0.3495216695102743,0.25702898457593154,-0.4209672901135153,0.028013840637562158,8,2.4236410698878346,3,1.2123435476909799,53
Pseudopanurgus solidaginis,448.49911299999997,405.4874992325746,0.4399473959359303,0.18679844281296495,-0.4353117852545873,-0.01675033339725152,7,6.230769230769231,1,1,9
Pseudopanurgus townsendi,390.70253999999994,390.70253999999983,-0.2608288485732285,0.16639959600439508,0.2596513668841316,-0.2836802455369041,1,1,1,1,2
Ptiloglossa arizonensis,1138.4413340000003,442.34366425307434,-0.04413961174808307,0.026216300187336578,0.3142691149218997,0.023044814366485134,9,1.6124086132452118,6,1.565478527302838,589
Ptiloglossa jonesi,1339.5656350000002,511.43347291200683,-0.08880555457876957,0.058448623615291836,0.3571051383893376,0.13620048042782582,11,5.035928143712576,9,4.5956284153005464,29
Ptiloglossa mexicana,808.6795860000002,497.23133161864916,0.00928422105651057,0.010794681230006247,0.2196956794218225,-0.20689786713438424,5,3.5217391304347827,5,3.5217391304347827,9
Ptilothrix bombiformis,1487.8396349999998,472.58189439926724,-0.015356513508030845,-0.003994526693281508,0.016238473219014147,-0.21482996089646014,21,2.760021595356997,10,2.192922252010724,143
Simanthedon linsleyi,505.2688399999999,431.1600494479329,-0.04167361696364134,0.024734151643198463,0.22028276139670425,-0.22443816746630815,2,1.4705882352941173,2,1.4705882352941173,5
Sphecodes antennariae,520.4334109999999,451.4181738983078,0.062450661788057145,0.004252629699318316,-0.40367682744202454,0.0030432707297230878,3,3,2,1.7999999999999998,3
Sphecodes atlantis,1362.5286969999995,515.7420303583663,0.056231246973763464,-0.039427764253089956,-0.215081423582572,-0.02593639538924937,12,5.504761904761903,9,4.446153846153846,34
